Generation :   1  |  Min :  -140  |  Avg :  -113  |  Max :   -78
Generation :   2  |  Min :  -172  |  Avg :  -111  |  Max :   -73
Generation :   3  |  Min :  -149  |  Avg :  -109  |  Max :   -56
Generation :   4  |  Min :  -201  |  Avg :  -109  |  Max :   -77
Generation :   5  |  Min :  -144  |  Avg :  -109  |  Max :   -64
Generation :   6  |  Min :  -152  |  Avg :  -107  |  Max :   -71
Generation :   7  |  Min :  -218  |  Avg :  -113  |  Max :   -75
Generation :   8  |  Min :  -215  |  Avg :  -109  |  Max :   -54
Generation :   9  |  Min :  -187  |  Avg :  -106  |  Max :   -62
Generation :  10  |  Min :  -166  |  Avg :  -105  |  Max :   -38
Generation :  11  |  Min :  -194  |  Avg :  -103  |  Max :   -38
Generation :  12  |  Min :  -163  |  Avg :  -102  |  Max :   -43
Generation :  13  |  Min :  -142  |  Avg :   -94  |  Max :     4
Generation :  14  |  Min :  -192  |  Avg :   -94  |  Max :     4
Generation :  15  |  Min :  -175  |  Avg :   -90  |  Max :    -1
Generation :  16  |  Min :  -179  |  Avg :   -85  |  Max :     5
Generation :  17  |  Min :  -213  |  Avg :   -86  |  Max :     9
Generation :  18  |  Min :  -189  |  Avg :   -79  |  Max :    13
Generation :  19  |  Min :  -221  |  Avg :   -75  |  Max :    20
Generation :  20  |  Min :  -160  |  Avg :   -68  |  Max :    12
Generation :  21  |  Min :  -160  |  Avg :   -69  |  Max :    22
Generation :  22  |  Min :  -164  |  Avg :   -58  |  Max :    25
Generation :  23  |  Min :  -208  |  Avg :   -42  |  Max :    37
Generation :  24  |  Min :  -179  |  Avg :   -41  |  Max :    53
Generation :  25  |  Min :  -148  |  Avg :   -45  |  Max :    53
Generation :  26  |  Min :  -193  |  Avg :   -44  |  Max :    65
Generation :  27  |  Min :  -163  |  Avg :   -44  |  Max :    46
Generation :  28  |  Min :  -160  |  Avg :   -53  |  Max :    53
Generation :  29  |  Min :  -187  |  Avg :   -50  |  Max :    56
Generation :  30  |  Min :  -198  |  Avg :   -47  |  Max :    63
Generation :  31  |  Min :  -162  |  Avg :   -44  |  Max :    59
Generation :  32  |  Min :  -161  |  Avg :   -33  |  Max :    64
Generation :  33  |  Min :  -218  |  Avg :   -32  |  Max :    70
Generation :  34  |  Min :  -136  |  Avg :   -30  |  Max :    54
Generation :  35  |  Min :  -168  |  Avg :   -36  |  Max :    54
Generation :  36  |  Min :  -157  |  Avg :   -35  |  Max :    62
Generation :  37  |  Min :  -148  |  Avg :   -25  |  Max :    76
Generation :  38  |  Min :  -136  |  Avg :   -35  |  Max :    67
Generation :  39  |  Min :  -127  |  Avg :   -41  |  Max :    90
Generation :  40  |  Min :  -175  |  Avg :   -34  |  Max :    84
Generation :  41  |  Min :  -198  |  Avg :   -28  |  Max :    93
Generation :  42  |  Min :  -169  |  Avg :   -34  |  Max :    93
Generation :  43  |  Min :  -172  |  Avg :   -33  |  Max :    94
Generation :  44  |  Min :  -224  |  Avg :   -26  |  Max :    87
Generation :  45  |  Min :  -198  |  Avg :   -30  |  Max :    77
Generation :  46  |  Min :  -162  |  Avg :   -25  |  Max :    84
Generation :  47  |  Min :  -176  |  Avg :   -41  |  Max :    83
Generation :  48  |  Min :  -186  |  Avg :   -39  |  Max :    95
Generation :  49  |  Min :  -136  |  Avg :   -31  |  Max :    89
Generation :  50  |  Min :  -140  |  Avg :   -16  |  Max :    91

------------------
next  hardcore generations:::

Generation :   1  |  Min :  -219  |  Avg :  -110  |  Max :    -5
Generation :   2  |  Min :  -167  |  Avg :  -113  |  Max :   -29
Generation :   3  |  Min :  -192  |  Avg :  -113  |  Max :   -20
Generation :   4  |  Min :  -184  |  Avg :  -110  |  Max :   -28
Generation :   5  |  Min :  -200  |  Avg :  -110  |  Max :   -26
Generation :   6  |  Min :  -198  |  Avg :  -103  |  Max :   -19
Generation :   7  |  Min :  -174  |  Avg :  -104  |  Max :   -26
Generation :   8  |  Min :  -164  |  Avg :  -103  |  Max :   -22
Generation :   9  |  Min :  -226  |  Avg :  -107  |  Max :   -40
Generation :  10  |  Min :  -191  |  Avg :  -106  |  Max :   -27
Generation :  11  |  Min :  -166  |  Avg :  -100  |  Max :   -34
Generation :  12  |  Min :  -200  |  Avg :  -105  |  Max :   -41
Generation :  13  |  Min :  -179  |  Avg :  -105  |  Max :   -13
Generation :  14  |  Min :  -204  |  Avg :  -108  |  Max :   -32
Generation :  15  |  Min :  -198  |  Avg :  -105  |  Max :   -20
Generation :  16  |  Min :  -202  |  Avg :  -106  |  Max :   -28
Generation :  17  |  Min :  -215  |  Avg :  -105  |  Max :     4
Generation :  18  |  Min :  -160  |  Avg :   -99  |  Max :   -36
Generation :  19  |  Min :  -186  |  Avg :  -101  |  Max :   -29
Generation :  20  |  Min :  -198  |  Avg :  -108  |  Max :    -6
Generation :  21  |  Min :  -198  |  Avg :  -109  |  Max :   -32
Generation :  22  |  Min :  -193  |  Avg :  -108  |  Max :   -42
Generation :  23  |  Min :  -219  |  Avg :  -103  |  Max :   -20
Generation :  24  |  Min :  -195  |  Avg :  -102  |  Max :   -52
Generation :  25  |  Min :  -183  |  Avg :   -95  |  Max :   -13
Generation :  26  |  Min :  -198  |  Avg :  -103  |  Max :   -35
Generation :  27  |  Min :  -184  |  Avg :   -97  |  Max :   -13
Generation :  28  |  Min :  -168  |  Avg :  -102  |  Max :   -13
Generation :  29  |  Min :  -179  |  Avg :   -99  |  Max :   -26
Generation :  30  |  Min :  -162  |  Avg :   -96  |  Max :   -34
Generation :  31  |  Min :  -172  |  Avg :  -100  |  Max :     5
Generation :  32  |  Min :  -172  |  Avg :   -99  |  Max :   -42
Generation :  33  |  Min :  -216  |  Avg :  -101  |  Max :   -22
Generation :  34  |  Min :  -175  |  Avg :   -96  |  Max :   -30
Generation :  35  |  Min :  -188  |  Avg :   -95  |  Max :    -2
Generation :  36  |  Min :  -193  |  Avg :  -101  |  Max :     2
Generation :  37  |  Min :  -213  |  Avg :  -101  |  Max :   -28
Generation :  38  |  Min :  -180  |  Avg :  -101  |  Max :   -32
Generation :  39  |  Min :  -193  |  Avg :  -102  |  Max :   -21
Generation :  40  |  Min :  -182  |  Avg :   -99  |  Max :   -31
Generation :  41  |  Min :  -171  |  Avg :   -98  |  Max :    -2
Generation :  42  |  Min :  -201  |  Avg :  -101  |  Max :     1
Generation :  43  |  Min :  -203  |  Avg :   -94  |  Max :   -18
Generation :  44  |  Min :  -203  |  Avg :   -97  |  Max :   -23
Generation :  45  |  Min :  -194  |  Avg :   -93  |  Max :     1
Generation :  46  |  Min :  -149  |  Avg :   -91  |  Max :    -1
Generation :  47  |  Min :  -223  |  Avg :  -101  |  Max :    -4
Generation :  48  |  Min :  -220  |  Avg :   -93  |  Max :   -13
Generation :  49  |  Min :  -184  |  Avg :   -89  |  Max :    19
Generation :  50  |  Min :  -186  |  Avg :   -93  |  Max :   -27

-------------------
next  hardcore generations:::

Generation :   1  |  Min :  -161  |  Avg :   -91  |  Max :    14
Generation :   2  |  Min :  -211  |  Avg :   -93  |  Max :    -2
Generation :   3  |  Min :  -142  |  Avg :   -92  |  Max :     2
Generation :   4  |  Min :  -164  |  Avg :   -93  |  Max :    16
Generation :   5  |  Min :  -191  |  Avg :   -95  |  Max :    -5
Generation :   6  |  Min :  -175  |  Avg :   -99  |  Max :    23
Generation :   7  |  Min :  -168  |  Avg :  -100  |  Max :   -10
Generation :   8  |  Min :  -179  |  Avg :   -92  |  Max :    18
Generation :   9  |  Min :  -189  |  Avg :  -100  |  Max :    -8
Generation :  10  |  Min :  -152  |  Avg :   -98  |  Max :    -7
Generation :  11  |  Min :  -198  |  Avg :   -99  |  Max :   -33
Generation :  12  |  Min :  -178  |  Avg :   -98  |  Max :    -6
Generation :  13  |  Min :  -159  |  Avg :   -95  |  Max :    19
Generation :  14  |  Min :  -173  |  Avg :   -92  |  Max :    -8
Generation :  15  |  Min :  -156  |  Avg :   -94  |  Max :     0
Generation :  16  |  Min :  -182  |  Avg :   -92  |  Max :    11
Generation :  17  |  Min :  -182  |  Avg :   -95  |  Max :    -2
Generation :  18  |  Min :  -181  |  Avg :  -103  |  Max :   -16
Generation :  19  |  Min :  -146  |  Avg :   -99  |  Max :     4
Generation :  20  |  Min :  -163  |  Avg :   -93  |  Max :    25
Generation :  21  |  Min :  -148  |  Avg :   -90  |  Max :     7
Generation :  22  |  Min :  -176  |  Avg :  -100  |  Max :   -14
Generation :  23  |  Min :  -173  |  Avg :   -92  |  Max :    -4
Generation :  24  |  Min :  -149  |  Avg :   -94  |  Max :    25
Generation :  25  |  Min :  -186  |  Avg :   -98  |  Max :     1
Generation :  26  |  Min :  -199  |  Avg :   -94  |  Max :   -10
Generation :  27  |  Min :  -198  |  Avg :   -94  |  Max :    -4
Generation :  28  |  Min :  -191  |  Avg :   -93  |  Max :   -16
Generation :  29  |  Min :  -198  |  Avg :   -95  |  Max :    -3
Generation :  30  |  Min :  -158  |  Avg :   -89  |  Max :    -7
Generation :  31  |  Min :  -159  |  Avg :   -93  |  Max :   -15
Generation :  32  |  Min :  -176  |  Avg :   -94  |  Max :   -16
Generation :  33  |  Min :  -157  |  Avg :   -92  |  Max :     9
Generation :  34  |  Min :  -166  |  Avg :   -93  |  Max :    10
Generation :  35  |  Min :  -172  |  Avg :   -91  |  Max :    -8
Generation :  36  |  Min :  -176  |  Avg :   -86  |  Max :    -7
Generation :  37  |  Min :  -171  |  Avg :   -90  |  Max :    21
Generation :  38  |  Min :  -177  |  Avg :   -90  |  Max :    21
Generation :  39  |  Min :  -166  |  Avg :   -88  |  Max :    19
Generation :  40  |  Min :  -166  |  Avg :   -87  |  Max :    30
Generation :  41  |  Min :  -200  |  Avg :   -97  |  Max :     3
Generation :  42  |  Min :  -172  |  Avg :   -92  |  Max :     7
Generation :  43  |  Min :  -145  |  Avg :   -87  |  Max :    14
Generation :  44  |  Min :  -156  |  Avg :   -92  |  Max :    10
Generation :  45  |  Min :  -164  |  Avg :   -93  |  Max :    13
Generation :  46  |  Min :  -181  |  Avg :   -97  |  Max :    -3
Generation :  47  |  Min :  -176  |  Avg :   -86  |  Max :    13
Generation :  48  |  Min :  -194  |  Avg :   -86  |  Max :    32
Generation :  49  |  Min :  -168  |  Avg :   -82  |  Max :     9
Generation :  50  |  Min :  -144  |  Avg :   -87  |  Max :    15
Generation :  51  |  Min :  -183  |  Avg :   -86  |  Max :     9
Generation :  52  |  Min :  -196  |  Avg :   -92  |  Max :    -4
Generation :  53  |  Min :  -170  |  Avg :   -91  |  Max :    25
Generation :  54  |  Min :  -165  |  Avg :   -88  |  Max :     6
Generation :  55  |  Min :  -151  |  Avg :   -92  |  Max :     4
Generation :  56  |  Min :  -189  |  Avg :   -97  |  Max :    16
Generation :  57  |  Min :  -160  |  Avg :   -91  |  Max :    34
Generation :  58  |  Min :  -158  |  Avg :   -82  |  Max :    31
Generation :  59  |  Min :  -224  |  Avg :   -89  |  Max :     8
Generation :  60  |  Min :  -176  |  Avg :   -88  |  Max :    22
Generation :  61  |  Min :  -173  |  Avg :   -87  |  Max :    31
Generation :  62  |  Min :  -175  |  Avg :   -87  |  Max :    14
Generation :  63  |  Min :  -156  |  Avg :   -84  |  Max :    14
Generation :  64  |  Min :  -202  |  Avg :   -96  |  Max :    13
Generation :  65  |  Min :  -161  |  Avg :   -92  |  Max :    -4
Generation :  66  |  Min :  -153  |  Avg :   -95  |  Max :     9
Generation :  67  |  Min :  -177  |  Avg :   -92  |  Max :    28
Generation :  68  |  Min :  -186  |  Avg :   -91  |  Max :     9
Generation :  69  |  Min :  -174  |  Avg :   -97  |  Max :    23
Generation :  70  |  Min :  -150  |  Avg :   -92  |  Max :    -1
Generation :  71  |  Min :  -168  |  Avg :   -93  |  Max :    10
Generation :  72  |  Min :  -195  |  Avg :   -86  |  Max :    18
Generation :  73  |  Min :  -164  |  Avg :   -94  |  Max :    24
Generation :  74  |  Min :  -185  |  Avg :   -90  |  Max :    -0
Generation :  75  |  Min :  -156  |  Avg :   -95  |  Max :    17
Generation :  76  |  Min :  -187  |  Avg :   -92  |  Max :    21
Generation :  77  |  Min :  -190  |  Avg :   -95  |  Max :     5
Generation :  78  |  Min :  -198  |  Avg :   -87  |  Max :     0
Generation :  79  |  Min :  -181  |  Avg :   -86  |  Max :    32
Generation :  80  |  Min :  -138  |  Avg :   -93  |  Max :     2
Generation :  81  |  Min :  -143  |  Avg :   -79  |  Max :    21
Generation :  82  |  Min :  -176  |  Avg :   -85  |  Max :    20
Generation :  83  |  Min :  -168  |  Avg :   -79  |  Max :     7
Generation :  84  |  Min :  -183  |  Avg :   -83  |  Max :    27
Generation :  85  |  Min :  -142  |  Avg :   -81  |  Max :    39
Generation :  86  |  Min :  -180  |  Avg :   -84  |  Max :    40
Generation :  87  |  Min :  -152  |  Avg :   -84  |  Max :    23
Generation :  88  |  Min :  -178  |  Avg :   -86  |  Max :    24
Generation :  89  |  Min :  -153  |  Avg :   -85  |  Max :    30
Generation :  90  |  Min :  -159  |  Avg :   -86  |  Max :    17
Generation :  91  |  Min :  -162  |  Avg :   -91  |  Max :    60
Generation :  92  |  Min :  -183  |  Avg :   -83  |  Max :     9
Generation :  93  |  Min :  -168  |  Avg :   -87  |  Max :    18
Generation :  94  |  Min :  -187  |  Avg :   -87  |  Max :    30
Generation :  95  |  Min :  -185  |  Avg :   -92  |  Max :    12
Generation :  96  |  Min :  -154  |  Avg :   -92  |  Max :    10
Generation :  97  |  Min :  -179  |  Avg :   -91  |  Max :    32
Generation :  98  |  Min :  -190  |  Avg :  -100  |  Max :   -23
Generation :  99  |  Min :  -224  |  Avg :   -98  |  Max :   -11
Generation : 100  |  Min :  -210  |  Avg :   -94  |  Max :    -7
Generation : 101  |  Min :  -195  |  Avg :   -95  |  Max :    17
Generation : 102  |  Min :  -188  |  Avg :   -99  |  Max :    10
Generation : 103  |  Min :  -173  |  Avg :   -94  |  Max :    13
Generation : 104  |  Min :  -189  |  Avg :   -92  |  Max :   -11
Generation : 105  |  Min :  -162  |  Avg :   -94  |  Max :    11
Generation : 106  |  Min :  -175  |  Avg :   -91  |  Max :    -2
Generation : 107  |  Min :  -216  |  Avg :  -100  |  Max :    16
Generation : 108  |  Min :  -154  |  Avg :   -88  |  Max :    32
Generation : 109  |  Min :  -182  |  Avg :   -92  |  Max :    28
Generation : 110  |  Min :  -175  |  Avg :   -84  |  Max :    24
Generation : 111  |  Min :  -134  |  Avg :   -90  |  Max :    29
Generation : 112  |  Min :  -175  |  Avg :   -91  |  Max :    24
Generation : 113  |  Min :  -189  |  Avg :   -82  |  Max :    30
Generation : 114  |  Min :  -209  |  Avg :   -74  |  Max :    33
Generation : 115  |  Min :  -150  |  Avg :   -83  |  Max :    15
