Generation :   1  |  Min :  -213  |  Avg :  -113  |  Max :   -76
Generation :   2  |  Min :  -176  |  Avg :  -112  |  Max :   -78
Generation :   3  |  Min :  -150  |  Avg :  -111  |  Max :   -82
Generation :   4  |  Min :  -207  |  Avg :  -110  |  Max :   -76
Generation :   5  |  Min :  -133  |  Avg :  -109  |  Max :   -70
Generation :   6  |  Min :  -190  |  Avg :  -108  |  Max :   -84
Generation :   7  |  Min :  -151  |  Avg :  -107  |  Max :   -55
Generation :   8  |  Min :  -141  |  Avg :  -105  |  Max :   -51
Generation :   9  |  Min :  -197  |  Avg :  -107  |  Max :   -62
Generation :  10  |  Min :  -139  |  Avg :  -103  |  Max :   -65
Generation :  11  |  Min :  -155  |  Avg :  -101  |  Max :   -60
Generation :  12  |  Min :  -150  |  Avg :   -98  |  Max :   -62
Generation :  13  |  Min :  -158  |  Avg :   -96  |  Max :   -54
Generation :  14  |  Min :  -203  |  Avg :  -101  |  Max :   -57
Generation :  15  |  Min :  -205  |  Avg :   -99  |  Max :   -57
Generation :  16  |  Min :  -193  |  Avg :   -98  |  Max :   -60
Generation :  17  |  Min :  -210  |  Avg :  -102  |  Max :   -61
Generation :  18  |  Min :  -183  |  Avg :   -98  |  Max :   -54
Generation :  19  |  Min :  -215  |  Avg :   -99  |  Max :   -52
Generation :  20  |  Min :  -149  |  Avg :   -97  |  Max :   -62

--------------------
next  hardcore generations:::

Generation :   1  |  Min :  -204  |  Avg :  -102  |  Max :   -61
Generation :   2  |  Min :  -215  |  Avg :  -106  |  Max :   -58
Generation :   3  |  Min :  -188  |  Avg :   -99  |  Max :   -60
Generation :   4  |  Min :  -211  |  Avg :  -105  |  Max :   -56
Generation :   5  |  Min :  -213  |  Avg :  -104  |  Max :   -59
Generation :   6  |  Min :  -215  |  Avg :  -102  |  Max :   -50
Generation :   7  |  Min :  -193  |  Avg :  -105  |  Max :   -65
Generation :   8  |  Min :  -197  |  Avg :  -102  |  Max :   -54
Generation :   9  |  Min :  -193  |  Avg :  -100  |  Max :   -52
Generation :  10  |  Min :  -186  |  Avg :  -102  |  Max :   -65
Generation :  11  |  Min :  -180  |  Avg :  -101  |  Max :   -71
Generation :  12  |  Min :  -177  |  Avg :   -99  |  Max :   -60
Generation :  13  |  Min :  -202  |  Avg :  -104  |  Max :   -45
Generation :  14  |  Min :  -157  |  Avg :   -99  |  Max :   -64
Generation :  15  |  Min :  -193  |  Avg :  -101  |  Max :   -52
Generation :  16  |  Min :  -214  |  Avg :  -105  |  Max :   -51
Generation :  17  |  Min :  -175  |  Avg :  -103  |  Max :   -63
Generation :  18  |  Min :  -204  |  Avg :  -100  |  Max :   -53
Generation :  19  |  Min :  -187  |  Avg :  -101  |  Max :   -47
Generation :  20  |  Min :  -178  |  Avg :  -100  |  Max :   -59
Generation :  21  |  Min :  -184  |  Avg :  -101  |  Max :   -63
Generation :  22  |  Min :  -193  |  Avg :  -100  |  Max :   -67
Generation :  23  |  Min :  -223  |  Avg :  -106  |  Max :   -60
Generation :  24  |  Min :  -190  |  Avg :  -103  |  Max :   -60
Generation :  25  |  Min :  -177  |  Avg :   -98  |  Max :   -53
Generation :  26  |  Min :  -175  |  Avg :  -102  |  Max :   -58
Generation :  27  |  Min :  -182  |  Avg :  -102  |  Max :   -54
Generation :  28  |  Min :  -228  |  Avg :  -104  |  Max :   -65
Generation :  29  |  Min :  -183  |  Avg :  -101  |  Max :   -68
Generation :  30  |  Min :  -158  |  Avg :   -99  |  Max :   -55
Generation :  31  |  Min :  -189  |  Avg :  -101  |  Max :   -58
Generation :  32  |  Min :  -215  |  Avg :  -101  |  Max :   -60
Generation :  33  |  Min :  -194  |  Avg :  -101  |  Max :   -55
Generation :  34  |  Min :  -173  |  Avg :  -100  |  Max :   -50
Generation :  35  |  Min :  -171  |  Avg :  -100  |  Max :   -50
Generation :  36  |  Min :  -160  |  Avg :   -98  |  Max :   -63
Generation :  37  |  Min :  -190  |  Avg :   -97  |  Max :   -54
Generation :  38  |  Min :  -220  |  Avg :  -102  |  Max :   -54
Generation :  39  |  Min :  -185  |  Avg :   -98  |  Max :   -61
Generation :  40  |  Min :  -197  |  Avg :  -100  |  Max :   -63
Generation :  41  |  Min :  -171  |  Avg :  -100  |  Max :   -52
Generation :  42  |  Min :  -163  |  Avg :  -100  |  Max :   -59
Generation :  43  |  Min :  -211  |  Avg :   -99  |  Max :   -70
Generation :  44  |  Min :  -206  |  Avg :   -98  |  Max :   -67
Generation :  45  |  Min :  -214  |  Avg :   -99  |  Max :   -58
Generation :  46  |  Min :  -218  |  Avg :  -101  |  Max :   -59
Generation :  47  |  Min :  -186  |  Avg :  -101  |  Max :   -64
Generation :  48  |  Min :  -205  |  Avg :  -103  |  Max :   -63
Generation :  49  |  Min :  -171  |  Avg :  -102  |  Max :   -52
Generation :  50  |  Min :  -197  |  Avg :  -103  |  Max :   -63
Generation :  51  |  Min :  -189  |  Avg :  -101  |  Max :   -53
Generation :  52  |  Min :  -195  |  Avg :  -104  |  Max :   -71
Generation :  53  |  Min :  -158  |  Avg :   -99  |  Max :   -54
Generation :  54  |  Min :  -198  |  Avg :  -101  |  Max :   -65
Generation :  55  |  Min :  -177  |  Avg :  -100  |  Max :   -59
Generation :  56  |  Min :  -182  |  Avg :  -102  |  Max :   -59
Generation :  57  |  Min :  -220  |  Avg :  -101  |  Max :   -54
Generation :  58  |  Min :  -207  |  Avg :  -106  |  Max :   -62
